filename,wordcount,valence_min,valence_max,valence_avg,valence_std,extremity_min,extremity_max,extremity_avg,extremity_std,extremity_min_pos,extremity_max_pos,extremity_avg_pos,extremity_std_pos,extremity_min_neg,extremity_max_neg,extremity_avg_neg,extremity_std_neg,extremity_PosMinNeg,emotionality_min,emotionality_max,emotionality_avg,emotionality_std,emotionality_min_pos,emotionality_max_pos,emotionality_avg_pos,emotionality_std_pos,emotionality_min_neg,emotionality_max_neg,emotionality_avg_neg,emotionality_std_neg,emotionality_PosMinNeg,count_unique_evaluative_pos,count_total_evaluative_pos,count_unique_evaluative_neg,count_total_evaluative_neg,count_unique_evaluative,count_total_evaluative,count_evaluative_PosMinNeg,ambivalent,pos_dichotomous,certainty_min,certainty_max,certainty_avg,certainty_std,count_unique_certainty,count_total_certainty
article_547.txt,1690,0.38,8.45,4.058,2.545,0.18,4.12,2.257,1.189,0.18,3.95,1.875,1.209,0.18,4.12,2.615,1.086,-0.74,1.19,8,3.841,1.954,1.69,5.65,3.345,1.484,1.19,8,4.305,2.259,-0.96,13,15,12,16,25,31,-1,1,,1.92,7.93,6.25,1.18,42,53
article_548.txt,1867,0.97,8.45,5.144,2.643,0.14,3.95,2.476,1.054,1.76,3.95,2.885,0.804,0.14,3.53,1.995,1.13,0.891,1.35,8.26,3.75,1.59,1.68,8.26,3.411,1.602,1.35,7.24,4.148,1.525,-0.737,14,20,15,17,29,37,3,1,,1.92,8.15,5.748,1.452,57,72
article_549.txt,2208,0.59,8.27,4.076,2.754,0.57,3.91,2.654,0.744,0.57,3.77,2.602,0.737,1.1,3.91,2.693,0.762,-0.092,1.19,8.03,4.081,1.672,1.69,8.03,3.764,1.499,1.19,7.03,4.32,1.785,-0.556,13,18,16,24,29,42,-6,1,,1.92,8.35,6.004,1.463,72,93
article_550.txt,1083,0.71,8.16,4.741,2.455,0.07,3.79,2.189,1.064,0.7,3.66,2.43,0.841,0.07,3.79,1.947,1.229,0.483,1.19,7.21,3.597,1.476,2.04,6.42,3.596,1.209,1.19,7.21,3.599,1.747,-0.003,9,15,12,15,21,30,0,1,,1.92,8.35,5.77,1.638,26,31
article_551.txt,1549,0.63,8.45,5.081,3.034,1.62,3.95,2.951,0.722,1.62,3.95,3.091,0.711,1.62,3.87,2.765,0.724,0.326,1.58,8.03,5.081,1.938,1.58,8.03,4.991,2.048,2.8,7.51,5.202,1.862,-0.211,14,16,11,12,25,28,4,1,,1.92,8.35,5.877,1.487,40,53
article_552.txt,1505,1.52,8.07,4.701,2.349,0.22,3.57,2.066,1.02,1.18,3.57,2.549,0.784,0.22,2.98,1.68,1.056,0.869,1.35,6.72,3.857,1.657,1.97,6.72,3.717,1.773,1.35,6.13,3.968,1.647,-0.251,7,8,9,10,16,18,-2,1,,1.92,7.92,6.001,1.457,48,55
article_553.txt,1535,0.83,8.41,5.33,2.894,1.66,3.91,2.832,0.762,2.18,3.91,3.113,0.634,1.66,3.67,2.431,0.792,0.682,2.03,8.26,4.802,1.996,2.03,8.26,5.254,2.262,2.8,6.13,4.156,1.456,1.098,10,10,5,7,15,17,3,1,,1.92,8.46,6.053,1.432,56,68
article_554.txt,1353,0.48,7,4.463,2.528,1.58,4.02,2.382,0.687,1.75,2.5,2.01,0.245,1.58,4.02,2.904,0.776,-0.894,1.19,5.92,2.923,1.211,1.41,3.76,2.286,0.608,1.19,5.92,3.816,1.302,-1.53,8,14,9,10,17,24,4,1,,1.92,8.07,6.263,1.185,39,46
article_555.txt,1023,0.7,8.36,4.07,2.764,0.18,3.86,2.546,0.964,1.78,3.86,2.82,0.688,0.18,3.8,2.381,1.098,0.439,1.19,6.61,3.833,1.731,1.76,3.72,3.105,0.702,1.19,6.61,4.269,2.039,-1.164,5,6,10,10,15,16,-4,1,,1.92,8.06,6.332,1.355,42,49
article_556.txt,1250,0.59,8.22,4.352,2.675,0.06,3.91,2.396,1.073,0.47,3.72,2.622,1.098,0.06,3.91,2.226,1.068,0.396,1.19,6.06,3.472,1.755,2.27,5.5,3.059,1.037,1.19,6.06,3.782,2.139,-0.723,6,9,8,12,14,21,-3,1,,1.92,7.77,6.146,1.324,38,45
article_557.txt,1557,1.03,8.27,5.629,2.651,0.7,3.77,2.633,1.047,0.7,3.77,2.586,1.185,2.06,3.47,2.758,0.604,-0.172,2.21,8.03,5.439,2.179,2.38,8.03,5.826,1.929,2.21,7.92,4.408,2.651,1.417,8,16,5,6,13,22,10,1,,1.92,7.88,6.04,1.534,27,38
article_558.txt,1276,1.24,8.11,3.862,2.394,0.18,3.61,2.255,0.899,0.18,3.61,2.309,1.242,1.58,3.26,2.225,0.712,0.083,1.19,8,3.924,2.06,1.66,8,4.114,2.331,1.19,6.16,3.822,1.993,0.292,7,7,8,13,15,20,-6,1,,1.77,8.35,5.977,1.303,51,61
article_559.txt,2436,0.54,8.28,4.889,2.962,1.13,3.96,2.818,0.755,1.13,3.78,2.673,0.792,1.79,3.96,3.036,0.685,-0.363,1.55,8.03,4.451,1.903,1.55,8.03,4.299,2.114,2.21,6.73,4.679,1.645,-0.38,11,12,8,8,19,20,4,1,,1.8,8.48,6.51,1.327,53,75
article_560.txt,1783,0.59,8.21,5.112,2.515,0.06,3.91,2.377,0.944,1.75,3.71,2.674,0.544,0.06,3.91,2,1.204,0.674,1.19,6.72,3.748,1.612,1.68,6.72,3.401,1.511,1.19,6.63,4.188,1.679,-0.787,14,19,15,15,29,34,4,1,,1.92,8.54,5.912,1.371,47,59
article_561.txt,1142,0.84,8.45,3.796,2.883,1.02,3.95,2.754,0.885,1.02,3.95,2.489,1.093,1.46,3.66,2.939,0.71,-0.45,1.58,6.9,4.63,1.584,1.58,6.9,3.916,1.793,3,6.73,5.13,1.281,-1.214,7,7,10,10,17,17,-3,1,,1.92,8.28,5.909,1.548,31,36
article_562.txt,1554,0.73,8.45,5.123,2.769,0.4,3.95,2.611,1.04,0.7,3.95,2.762,1.099,0.4,3.77,2.396,0.939,0.366,1.19,8.26,5.279,1.926,1.69,8.26,5.369,2.039,1.19,7.92,5.152,1.807,0.217,16,24,16,17,32,41,7,1,,1.8,8.48,6.061,1.608,53,65
article_563.txt,1201,5.32,8.45,7.522,0.74,0.82,3.95,3.022,0.74,0.82,3.95,3.022,0.74,,,,,3.022,2.43,8.26,4.764,1.836,2.43,8.26,4.764,1.836,,,,,4.764,18,28,0,0,18,28,28,0,1,1.92,8.33,6.184,1.408,42,48
article_564.txt,1361,1.24,7.79,3.584,2.134,0.18,3.29,2.086,0.879,1.61,3.29,2.047,0.829,0.18,3.26,2.101,0.941,-0.054,1.19,6.06,2.725,1.616,1.34,4.74,2.252,1.663,1.19,6.06,2.914,1.646,-0.662,3,4,8,10,11,14,-6,1,,1.92,7.68,5.879,1.302,32,41
article_565.txt,1248,0.5,8.45,2.961,2.8,0.38,4,2.942,1.145,0.7,3.95,2.601,1.13,0.38,4,3.067,1.155,-0.465,1.35,7.66,4.787,1.958,2.57,6.42,3.683,1.354,1.35,7.66,5.194,2.016,-1.511,6,7,16,19,22,26,-12,1,,1.92,8.28,6.486,1.253,36,43
article_566.txt,1241,0.52,8.21,4.946,2.668,0.02,3.98,2.341,1.23,2.5,3.71,2.959,0.551,0.02,3.98,1.792,1.429,1.167,1.35,6.23,3.436,1.385,2.52,4.7,3.516,0.965,1.35,6.23,3.364,1.734,0.152,5,8,9,9,14,17,-1,1,,1.92,8.39,6.353,1.218,33,35
